UPC,Item description,Call description,Call type,Verbatim,Ticket ID,Brand Name,MDSE category,Batch Lot,Create date,Expire date,Month,Calendar Year,Site ID,Week,State,Fiscal Year Ending,Store,City
68113132895,MARKETSIDE CLASSIC ICEBERG SALAD 24OZ,Product Condition,Complaint,"Customer stated: Half of bag was brown in color when it was just purchased and opened today.Advised customer QA would be notified.Provided customer with $5 GC, confirmation# GCR258058------------Store Please look into the vegetable section and ensure that the quality of the vegetables are not browning. Thank you FYI no call back needed.",190808-061638,,CSR,TFMX208A072,8-Aug-19,12-Aug-19,8,2019,4258,28,,2020,4258,FREDERICKSBURG
68113114834,Chopped Salad Kit-Sunflower Bacon Crunch,Foreign Objects,Complaint,"I purchased 3 bags of Marketplace Chopped Salad Kits (which I do every week) at the Walmart Marketplace located at 1770 S. Elm Pl., Broken Arrow, OK 74012 on August 4, 2019. While eating that salad for lunch on August 8th I bit into a thick piece of sharp plastic. The plastic was very hard, and made me question if I had chipped a tooth. The salad was placed directly into a ceramic bowl from the bag, so there is no other possibility of the plastic piece coming from anywhere but the bag. I am very concerned that there were potentially other small pieces of the plastic mixed into the salad that I swallowed. I have photos of the plastic, as well as the bag the salad came from. I plan to contact the store, as well as corporate regarding this issue. ------------ Dear Shelby, We apologize for your experience, but thank you for taking the time to contact us and sharing your feedback regarding our Marketside products. Our customer feedback is very important to us. In order to ensure we identify the correct item and have the correct team look into this circumstance, we are requesting some additional information. Please respond with the following (if available): • What is the 6-digit code above or to the side of the barcode? • Customer’s mailing address • Customer’s city, state, and zip Please reply to this email. Once we receive the above requested information, we will then notify our brand team so this matter can be addressed in a timely manner. You may also contact us by visiting www.walmartstores.com and clicking on the contact us link or by phone @ 877-505-2267. For future questions regarding product ingredients, nutritional facts, preparation instructions and more, click the grocery link at www.walmart.com. Sincerely, Private Brand Customer Connections Walmart Stores, Inc ------------
Please see below response:
• What is the 6-digit code above or to the side of the barcode?456344
• Customer’s mailing address
• Customer’s city, state, and zip
4331 S 198th E AveBroken Arrow, OK 74014Thank you,Shelby Livingston405-334-3376
Sent from my iPhone",190808-049281,,CSR,TFD210A6-01:00 163927-01,8-Aug-19,11-Aug-19,8,2019,3508,28,,2020,3508,BROKEN ARROW
68113132894,SLD ICEBERG 12OZ TF,Product Condition,Complaint,"Customer stated: MS Classic iceberg salad kits. Opened it and it was wet inside and all mushy. Awful.

Purchased this before? y
Happened before? n

Advised customer QA would be notified food safe. Advised to return to store. (if they return to the store, if not put they pushed back) Advised to speak to SMOM.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190809-011653,,CSR,TFMX207A10 09:26,9-Aug-19,11-Aug-19,8,2019,1297,28,,2020,1297,CHIEFLAND
68113100704,SLD CHP ASIAN FE,Product Condition,Complaint,"Customer stated: Purchased MKS Asian Chop Salad Kit and it was full of brown pieces of lettuce.

Purchased this before? Yes Happened before? No

Advised customer QA would be notified. Advised to return to store.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190809-014946,,CSR,163997-01,9-Aug-19,11-Aug-19,8,2019,179,28,,2020,179,SPRINGFIELD
68113132894,SLD ICEBERG 12OZ TF,Product Condition,Complaint,"Customer stated: purchased MS Iceberg Salad 08/08/19, lettuce is brown.Purchased before: YesHappened before: NoAdvised customer: QA would be notified. Provided customer with $5 GC, confirmation# GCR258096.Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190809-037508,,CSR,TFMX212A07-2 05:36AM AE07L12,9-Aug-19,16-Aug-19,8,2019,2843,28,,2020,2843,SUMMERFIELD
68113191699,MKS COBB SALAD,Product Condition,Complaint,"*could not find Batch/Lot#*Customer stated: Purchased MKS Ranch Cobb Salad and when she was eating it there was half of an egg and the package says eggs. Worried that someone may have taken some out of there.

Purchased this before? No

Advised customer QA would be notified. Advised to return to store.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190809-035811,,CSR,,9-Aug-19,11-Aug-19,8,2019,643,28,,2020,643,MYRTLE BEACH
68113191697,MKS CHEF SALAD,Foreign Objects,Complaint,"Customer stated:There are three pieces of clear plastic in the salad!While eating the salad today for lunch, I noticed a piece of the plastic and I swallowed a piece in the salad I was chewing!Apologized FO's, lunch today.Purchased before YesFirst time occurred YesInformed Customer: FWD to QA, supplier for review, likely expect from supplier by UPS, etc prepaid mailer in 5 - 7 days for FO's with container.We appreciate you contacting us and bringing this to our attention. We have high quality expectations and we will advise the quality department the item did not meet expectations. We have a 100% satisfaction guarantee.Provided Courtesy Gift Card $5 GCR258120------------Taylor Farms

A complaint was received by our Customer Connections Team claiming that a foreign object / contaminant has been found or detected in the following product which you supply to Walmart:
MKS CHEF SALAD
Within one (1) business day, overnight a prepaid package to the customer and arrange for the product and contaminant to be returned to the appropriate person within your company. The prepaid package should be large enough to accommodate the product and contaminant without compromising the integrity of the evidence. The customer’s contact information and details of the incident are provided below. We have also attached a form letter to provide along with the prepaid package. If you cannot reach the customer after multiple attempts, please inform Walmart Food Safety (FoodSafeCom@wal-mart.com) you were not able to contact the customer.
There may be instances in which the customer refuses to return the object - This is considered out of your control; however, you are still expected to notify us of the issue. If you have questions about the customer's contact information, please reply to this email (customerspark@mailmw.custhelp.com).

Once the object is retrieved, we ask that you investigate per your internal procedures and respond to Walmart Food Safety with the following information:
1. The identification and origin of implicated foreign object / contaminant.
2. An explanation of how this occurred within the process.",190809-052133,,CSR,TFSW217,9-Aug-19,9-Aug-19,8,2019,1559,28,,2020,1559,LAS VEGAS
68113114834,,Inquiry Product Information,Inquiry,Customer stated she is wanting to know if the salad is prewashed.Advised customer all MS salads and bagged produce are washed.,190810-016009,,CSR,TFRS211AD4AD9:23,10-Aug-19,15-Aug-19,8,2019,4371,29,,2020,4371,TEXARKANA
68113100706,SLD CHP SW HM,Product Condition,Complaint,"Customer Stated: Comment On Marketside Chopped Salad Southwest. Opened up, no kit included. Greens only, no cheese, chips, or utensils included.

Purchased product before? Yes

Resolution: Empathized with experience. Apologized for unsatisfactory product, informed of satisfaction guarantee for product, and informed of QA notification.Offered $5 GC, Conf#GCR258167

Offered any final assistance, survey, and advised always happy to help.",190810-032408,,CSR,TFRS215A05BO7:36,11-Aug-19,19-Aug-19,8,2019,4196,29,,2020,4196,AURORA
68113132894,SLD ICEBERG 12OZ TF,Product Condition,Complaint,"Customer Stated: she bought MS classic iceberg salad and it is completely old, brown and slimy. Bought on 8-5 or 8-6, the bag seemed fine. Has not been opened yet.

Purchased this before? yes Happened before? noAdvised of the Fresh Guarantee for produce, just take receipt in for 100% refund. She does not have receipt.
Provided $5 GC #GCR258183for this item and item from 190811-019725
Advised customer QA would be notified. Sending to food safety, store.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190811-004083,,CSR,"tfmx207a10 10:40 vf01-l,9-a",11-Aug-19,11-Aug-19,8,2019,7009,29,,2020,7009,RICHLANDS
68113138753,SLD ROMAINE 9OZ TF,Foreign Objects,Complaint,"Customer Stated: bought MS romaine salad and a live fruit fly came out of the bag after she served some to her toddler.

Purchased this before? yes Happened before? no

Advised customer QA would be notified, food safety, supplier
Provided $5 GC #GCR258183 for this and item from 190811-004083
Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190811-019725,,CSR,"tfmx208a10 im01-l,3 9:09",11-Aug-19,13-Aug-19,8,2019,9999,29,,2020,9999,BENTONVILLE
68113108573,ORG SLD SPIN 16Z TF,Foreign Objects,Complaint,"Customer stated:Purchased MS organic baby spinach was bought at the end of July. She was laying the spinach out to clean it and found an inch long black plastic piece.

Receipt: No

Advised customer: 100% satisfaction guarantee.
QA would be notified. Advised customer to hold on to the FO object for further investigation.
Provided customer with $5.00 GC, confirmation# GCR258193

Apologized for experience. Offered final assistance, survey, and advised always happy to help.------------Taylor Farms,

A complaint was received by our Customer Connections Team claiming that a foreign object / contaminant has been found or detected in the following product which you supply to Walmart: Marketside Organic Baby Spinach.
Within one (1) business day, overnight a prepaid package to the customer and arrange for the product and contaminant to be returned to the appropriate person within your company. The prepaid package should be large enough to accommodate the product and contaminant without compromising the integrity of the evidence. The customer’s contact information and details of the incident are provided below. We have also attached a form letter to provide along with the prepaid package. If you cannot reach the customer after multiple attempts, please inform Walmart Food Safety (FoodSafeCom@wal-mart.com), or Walmart Product Safety (PBPS10@email.wal-mart.com) for non-food products, that you were not able to contact the customer.
There may be instances in which the customer refuses to return the object - This is considered out of your control; however, you are still expected to notify us of the issue. If you have questions about the customer's contact information, please reply to this email (customerspark@mailmw.custhelp.com).

Once the object is retrieved, we ask that you investigate per your internal procedures and respond to Walmart Food Safety with the following information:
1. The identification and origin of implicated foreign object / contaminant.
2. An explanation of how this occurred within the process.
3. A description of the corrective actions you have implemented to prevent reoccurrence.
4. Has your company had any similar complaints to indicate this is not an isolated incident?

Additionally, please provide us with copies of any analytical results obtained. We expect to receive a summary of your investigation no later than 14 business days from the date of this email.

**PLEASE NOTE** After your investigation is completed, you must do THREE things:
1. Report to Walmart Food Safety (FoodSafeCom@wal-mart.com), or Walmart Product Safety (PBPS10@email.wal-mart.com) for no",190812-006504,,CSR,TFMD200B-1 18:40,12-Aug-19,1-Aug-19,8,2019,2159,29,,2020,2159,OLEAN
68113138807,SLD ROMAINE 18OZ TF,Product Condition,Complaint,"Customer Purchased a: SALAD ROMAINE 18 OZ TFthe customer called about the condition of the salad the customer says the product has brown lettuce in the product and the customer says she has had this product for a few days but when she purchased the product the lettuce was good looking from what she could see.Purchased this before? yHappened before? nAdvised customer QA would be notified. Advised to return to store Talk with a SMOMApologized for experience. Offered final assistance, survey, and advised always happy to help.Gift Card Request Successful for Request #: GCR258199)",190812-004210,,CSR,"TFMX211B07-2 AE07-L,21",12-Aug-19,15-Aug-19,8,2019,5150,29,,2020,5150,MAPLEWOOD
68113102790,SLD BBY SPIN 6Z TF,Product Condition,Complaint,"Customer stated that he purchased the Marketside Spinach and customer is stating that it is bad. Customer tried to consume before the expiration date.Advised customer that I would get this information to our Quality Department to be reviewed and addressed. Informed customer of the 100% satisfaction guarantee on the product and they can return to their local store for a refund/exchange per KB.Purchased product before? YesProvided customer a $5 gift card, confirmation number GCR258218.",190812-023790,,CSR,TFFL207AJBL2B 7:59:16,12-Aug-19,8-Aug-19,8,2019,4565,29,,2020,4565,THE VILLAGES
68113116081,SLD BWL COB 7.25Z TF,Product Condition,Complaint,"Customer stated: MS Cobb salad. Didn't notice it but all the lettuce is brown but not slimy. The store that she shops at is not well-maintained and not very well organized.Purchased before? Yes.First time occurred? Yes.When purchased? Last night.Receipt? No.Advised customer QA would be notified. Advised to return to store.Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190812-039184,,CSR,TFD217RU15,12-Aug-19,17-Aug-19,8,2019,5931,29,,2020,5931,DALLAS
68113102783,SLD HRTS ROM 10Z TF,Inquiry Product Information,Inquiry,"Customer stated:
Marketside Hearts of Romaine Lettuce, wants to know if this product is washed.

Advised customer: 100% satisfaction guarantee.
This product has been pre-washed, it is not necessary to wash it.
Offered final assistance, survey, and advised always happy to help.",190812-043103,,CSR,,12-Aug-19,,8,2019,9999,29,,2020,9999,BENTONVILLE
68113132898,ORG SLD BBYSP 5Z TF,Inquiry Product Information,Inquiry,"Customer stated: Purchased MKS Organic Spinach. Just heard there was a recall on this item. She also wanted to know where this spinach was picked inside the US.

Advised there wasn't a recall active on this item, but would send her inquiry up to the supplier.

Offered final assistance, survey, and advised always happy to help.

------------Please find the below information regarding ORG SLD BBYSP 5Z TF that a customer recently purchased. Please reply to this email (do not contact the customer) with the requested information or if you have any questions. Once we have received your response, our team will follow-up with the customer accordingly.

Thank you for your assistance with this matter.

Customer Contact Team


------------Taylor Farms does not have a recall. Recalled product is from Dole of which we have no affiliation



Debbie Andersen

Taylor Farms

559-741-0911







Image



Please see the below Letter to the President Ticket. This is a new process that replaces the emails sent from Customer Reply. To update this ticket or request additional information, simply reply to this email. Do NOT copy the ticket number into the subject line. It is no longer necessary:

Date Created: 08/12/2019 04:14 PM
Date Last Updated: 08/12/2019 04:14 PM

SUBJECT
Private Brand - Inquiry Product Information

Store # 2136 Cul",190812-010213,,CSR,TSMD21981 19:49,12-Aug-19,20-Aug-19,8,2019,2136,29,,2020,2136,CULPEPER
68113138746,SLD FAMILY CSR TF,Short Volume/Quantity,Complaint,"Customer stated: Marketside Family Sized Salad Kit, there are no toppings, no dressings, just the lettuce.

Purchased this before? Yes
Happened before? No

Advised customer QA would be notified. Advised to return to store. Customer stated that she would take it back to the store.

Offered final assistance, survey, and advised always happy to help.",190813-007557,,CSR,TFT 214 2AE 13:54 23,13-Aug-19,15-Aug-19,8,2019,1140,29,,2020,1140,MOUNT STERLING
68113138807,SLD ROMAINE 18OZ TF,Product Condition,Complaint,"Customer stated: shops online grocery and the salad is always gross. It is wilted and brown and most of it is purple cabbage.

Purchased this before?Yes Happened before? No

Advised customer QA would be notified. Advised to return to store.
Provided customer with $5 GC, confirmation# GCR258304
Apologized for experience. Offered final assistance, survey, and advised always happy to help.------------Dear April,

Thank you for taking the time to contact us and sharing your feedback regarding our Marketside products. Our customer feedback is very important to us. In order to ensure we identify the correct item and have the correct team look into this circumstance, we are requesting some additional information.

Please respond with the following (if available):

• Please attach the photos we talked about.

Please reply to this email. Once we receive the above requested information, we will then notify our brand team so this matter can be addressed in a timely manner.

You may also contact us by visiting www.walmartstores.com and clicking on the contact us link or by phone @ 877-505-2267. For future questions regarding product ingredients, nutritional facts, preparation instructions and more, click the grocery link at www.walmart.com.

Sincerely,

Private Brand Customer Connections
Walmart Stores, Inc",190813-006707,,CSR,TFMX214A06-1,13-Aug-19,18-Aug-19,8,2019,579,29,,2020,579,ST AUGUSTINE
68113100704,SLD CHP ASIAN TF,Product Condition,Complaint,"Costumer stated: MS salad. smelled Horrible and there was water in the bag and soaking wet.

Advised customer:QA and Food Safety will be notified. Gift Card was issued

Have you purchased before? yes

Provided the customer with a $5 GC

GC with confirmation #GCR258322

Apologized for experience. Offered final assistance, survey, and advised always happy to help",190813-020271,,CSR,TFFL217ACU3A 19:3218,13-Aug-19,18-Aug-19,8,2019,3474,29,,2020,3474,BRADENTON
68113102783,551045160,Product Condition,Complaint,"Customer stated: she bought romaine lettuce and there is alot of black lettuce.

Advised customer:We appreciate you contacting us and bringing that to our attention I will advise the QA department about what you said. Advised customer to go back to the store and get a refund or exchange.Offered final assistance and said closing.",190813-044448,,CSR,TFD21787-1,13-Aug-19,18-Aug-19,8,2019,3014,29,,2020,3014,DALLAS
68113122119,MKS AVO RANCH SALAD WITH CHICKEN 7.45OZ,Product Condition,Complaint,"Customer stated: The salad was rottenAdvised customer QA would be notified.Provided customer with $5 GC, confirmation# GCR258361)",190813-041534,,CSR,,13-Aug-19,15-Aug-19,8,2019,1081,29,,2020,1081,GAINESVILLE
68113114832,"Marketside Caesar Chopped Salad Kit, 11.45 oz",Product Condition,Complaint,"Customer Stated she got a bag of MS chopped Caesar salad, opened it and its all brown inside and wilted.


Advised customer sending to quality, she can take it back to the store for a refund or exchange on the item.

Purchased item before Yes",190813-047427,,CSR,TST 213 19:36:53,13-Aug-19,14-Aug-19,8,2019,673,29,,2020,673,CLARKSVILLE
68113128843,TAYLOR FARMS PACIFIC INC,Foreign Objects,Complaint,"Customer stated: Purchased a MS SW style chicken salad and there was a piece of plastic and two long gray hairs in her salad.Purchased before? Yes.First time occurred? Yes.When purchased? Can't remember--perhaps last Saturday.Receipt? No.Advised customer QA would be notified. Advised to return to store.Pushback: Provided customer with GC $5.00, confirmation #GCR258370Apologized for experience. Offered final assistance, survey, and advised always happy to help.------------Dear Taylor Farms:

A complaint was received by our Customer Connections Team claiming that a product that you supply to Walmart Marketside Southwest Salad does not meet their standards for quality. Please retrieve the below product from the customer so this incident can be investigated to ensure the product is within specifications.

If you have any communication with the customer as a result of retrieving this product, please reply back to this email informing us of such communication.

Thank you for your support.

Sincerely,

Corporate Food Safety
Walmart Stores, Inc",190813-043531,,CSR,TFPM214B36 P34013,13-Aug-19,13-Aug-19,8,2019,1608,29,,2020,1608,RED BLUFF
68113117949,SLD 50/50 11Z TF,Short Volume/Quantity,Complaint,"Customer stated: she bought spinach and spring mix and it was 99% spinach there was no lettuce in it at all.

Purchased before: no

First time occurred: yes

Advised customer:We appreciate you contacting us and bringing that to our attention I will advise the QA department about what you said.

Pushback: Provided Gift Card $5 #: GCR258410)

Offered final assistance and said closing.",190814-025070,,CSR,TFRS 217A15A11:42,14-Aug-19,21-Aug-19,8,2019,771,29,,2020,771,MERRITT ISLAND
68113116086,SLD BWL BBQCKN 7Z TF,Product Condition,Complaint,"Customer Stated: Marketside salads, Blueberries and the strawberries.. They have all spoiled. She is getting really irritated with this happening.Compensated customer for the one salad that she has in front of her.
Advised Customer her to return to the store and have them pull her receipt since she stated that she no longer has it and speak to a manager to have the remainder of the spoiled items refunded to her.
Purchased item before Yes
Provided GC to customer in amount of $5 with confirmation number GCR258427)",190814-027216,,CSR,TFNJ214P34513,14-Aug-19,16-Aug-19,8,2019,1875,29,,2020,1875,SEVERN
68113100704,SLD CHP ASIAN TF,Product Condition,Complaint,"Costumer stated: Marketside salad kit. likes them. but the last two she has bought the dressing packets have been busted all over. 

Advised customer:QA and Food Safety will be notified. 

Have you purchased before? no

Apologized for experience. Offered final assistance, survey, and advised always happy to help",190814-027350,,CSR,TFT2183TA 20:45:51,14-Aug-19,19-Aug-19,8,2019,687,29,,2020,687,CROSSVILLE
68113138804,MKS SOUTHWEST SALAD,Short Volume/Quantity,Complaint,"I bought a southwest chicken salad for lunch and just noticed that I have received no grilled chicken in the salad or cheese. The only thing included with my salad was the packet of tortilla strips,container of pico de Gallo and dressing. ------------ Located supplier ID via HOST, confirming with customer. ------------ Dear Danielle, Thank you for taking the time to contact us and sharing your feedback regarding our Marketside products. Our customer feedback is very important to us. In order to ensure we identify the correct item and have the correct team look into this circumstance, we are requesting some additional information. Please respond with the following (if available): • What is the 6-digit code above or to the side of the barcode? • What is the Batch or Lot Code number? o This can be found on the packaging or container, normally near the expiration date • When is the Best By or Expiration Date of the product? • Customer’s mailing address • Customer’s city, state, and zip Please reply to this email. Once we receive the above requested information, we will then notify our brand team so this matter can be addressed in a timely manner. You may also contact us by visiting www.walmartstores.com and clicking on the contact us link or by phone @ 877-505-2267. For future questions regarding product ingredients, nutritional facts, preparation instructions and more, click the grocery link at www.walmart.com. Sincerely, Private Brand Customer Connections Walmart Stores, Inc",190814-011126,,CSR,,14-Aug-19,,8,2019,7307,29,,2020,7307,BRADENTON
68113114837,SLD CHP CAG TF,Product Condition,Complaint,"Customer stated: Marketside pre mix salad kit the last couple bags I have bought turning brown before expiration date.

Advised: We do 100 satisfaction guarantee on all our products and you can take that back and get an exchange or refund

Advised QA will be notified

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190815-006437,,CSR,1FRS210A04T 0:900,15-Aug-19,14-Aug-19,8,2019,5837,29,,2020,5837,ROGERS
68113100704,SLD CHP ASIAN TF,Inquiry Product Information,Inquiry,"Customer stated that she purchased the Marketside Chopped Salad and customer is wanting to know if it is pre washed.Advised customer that I would request this information from the suppler per KB.Purchased product before? No------------TAYLOR FARMS PACIFIC INCPlease find the below information regarding SLD CHP ASIAN TF that a customer recently purchased. Please reply to this email (do not contact the customer) with the requested information or if you have any questions. Once we have received your response, our team will follow-up with the customer accordingly.

Thank you for your assistance with this matter.

Customer Contact Team",190815-013582,,CSR,TFRS213A05A08:42,15-Aug-19,17-Aug-19,8,2019,1626,29,,2020,1626,OKLAHOMA CITY
68113108574,ORG SLD SPMIX 16Z TF,Foreign Objects,Complaint,"Costumer stated: Marketside spring mix. says there is weird looking green. said it looks like a jade plant.

Advised customer:QA and Food Safety will be notified. Gift Card was issued

Have you purchased before? yes

Provided the customer with a $5 GC

GC with confirmation #GCR258495

Apologized for experience. Offered final assistance, survey, and advised always happy to help

------------Dear Deborah,Thank you for bring the foreign object in your Marketside spring mix to our attention. We are forwarding this up to Quality Assurance and Food Safety. We would appreciate it if you would attach pictures of the plant you said was in the mix to this email. With all the information and once we received the pictures I will get this right to the supplier.Thank you,Private Brand Customer Connections
Walmart, Inc------------Thank you for your assistance with this matter. My daughter and I think this is purslane-nice edible weed but not a listed green on your label !Deborah
------------once i received the pictures i sent to supplier.",190815-013285,,CSR,TFT2150PS 18:44:30,15-Aug-19,18-Aug-19,8,2019,941,29,,2020,941,VALRICO
68113138735,SLD BC CSR 14.6Z TF,Product Condition,Complaint,"Customer is calling about the salad she purchased and says a bunch of it is not very fresh.Purchased this before?Yes Happened before? NoAdvised customer QA would be notified. Compensating for bad salad..Provided customer with $5 GC, confirmation GCR 258540Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190815-056205,,CSR,TFD214A1-1 04:08,15-Aug-19,15-Aug-19,8,2019,5931,29,,2020,5931,DALLAS
68113116080,SLD BWL CHF 7.25Z TF,Foreign Objects,Complaint,"Hi, I went to the Independence Street in Cape Girardeau, MO walmart and got a Chef salad from the front, as I was eating it I found a large sharp piece of plastic at the bottom. I can email a picture I have as it looks like a piece to a lid or name tag. I can send pictures on it when contacted back. ------------ Hi Aaron , To process your request, we need a little more information. Please provide the following: 1) The city and state in which you did your shopping 2) UPC #, located underneath the product barcode or on your receipt 3) 'Best By' date 4) Lot code number (located next to 'Best By' date) If the UPC number is unavailable, please provide the following: 1) Brand name 2) Model number (if applicable) 3) Please, describe the size, color, use, etc. of the product Thank you for contacting Walmart where we are always happy to help! ------------Hi, I will provide all I have, as I still have the salad container.
1 - Cape Girardeau, MO 63703, I actually had to select the store when I was submitting this. It was the Neighborhood Walmart on Independence street.
2 - 81131 16080 - I have a picture of the salad on the bottom as well that will be attached.3 - The Best buy date was 8/21/19.4 - Lot Code - TFT220 B 3 P-34703
I will attach the pictures of the salad bowl, the plastic piece that was in it, and the size comparison with it sitting next to it.
Thanks,
Aaron Alter>>
>
>
>


On Thursday, August 15, 2019, 2:17:53 PM CDT, WMSTORES <wmstorehelp@mailva.custhelp.com> wrote:

------------ Dear Aaron, Thank you for taking the time to contact us and sharing your feedback regarding our Marketside products. Our customer feedback is very important to us. In order to ensure we identify the correct item and have the correct team look into this circumstance, we are requesting some additional information. Please respond with the following (if available): • Customer’s mailing address • Customer’s city, state, and zip Please reply to this email. Once we receive the above requested information, we will then notify our brand team so this matter can be addressed in a timely manner. You may also contact us by visiting www.walmartstores.com and clicking on the contact us link or by phone @ 877-505-2267. For future questions regarding product ingredients, nutritional facts, preparation instructions and more, click the grocery link at www.walmart.com. Sincerely, Private Brand Customer Connections Walmart Stores, Inc ------------",190815-035355,,CSR,TFT220 B 3 P-34703,15-Aug-19,21-Aug-19,8,2019,7072,29,,2020,7072,CAPE GIRARDEAU
68113153209,SLD SHREDS 16OZ TF,Foreign Objects,Complaint,"Customer stated: purchased MS Organic Iceberg lettuce, claims they found fiberglass in the product. Customer did not provide address or email.

Purchased this before? Yes

Happened before? No

Advised customer QA would be notified, and advised customer that agent may be able to send out a $5 gift card to compensate the customer, customer was seeking greater compensation. Advised to return to store and request SMOM to file a claim.
Customer hung up.",190816-022498,,CSR,,16-Aug-19,,8,2019,3588,29,,2020,3588,DUMFRIES
68113102790,SLD BBY SPIN 6Z TF,Recall Questions,,"Private Brand: SpinachCustomer stated: She would like to know if there has been a recall on this product.Advised no.Offered final assistance, and Survey.",190816-011196,,CSR,TFD21889-217:09,16-Aug-19,19-Aug-19,8,2019,972,29,,2020,972,LAKE WORTH
68113132896,SLD SHREDS 8OZ TF,Product Condition,Complaint,"Private Brand: Marketside LettuceCustomer stated: They do no last. Even the ones put out right away show that they are starting to go bad. They are only good for a day or two. This has been happening for sometime now. It's just an issue that needs to be addressed if not will not continue to be buying these products anymore.Purchased this before? yesHappened before? yesAdvised customer QA would be notified. Advised to return to store.Apologized for experience, Offered final assistance, and Survey.",190816-023003,,CSR,TSRS218B02C21:30,16-Aug-19,22-Aug-19,8,2019,3655,29,,2020,3655,LAS VEGAS
68113108573,ORG SLD SPIN 16Z TF,Recall Questions,,"Customer stated: Marketside Spanish is it on the recall? Advised no it was not in the recall per TL Brenen.Purchased this before? YesHappened before? NoAdvised customer QA would be notified. Advised to return to store and speak to a SMOM and to call us while in store if they give pushback.Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190816-044914,,CSR,TFRS213A11B08:30,16-Aug-19,17-Aug-19,8,2019,2691,29,,2020,2691,NEW ALBANY
68113138807,SLD ROMAINE 18OZ TF,Product Condition,Complaint,"Customer stated: MS Romaine Salad. Bottom of the Romaine was in the salad 2 cores. Customer states she might have cut off the BBD and lot #.

Purchased this before? y
Happened before? n

Advised customer QA would be notified food safe. Advised customer to return to the store for a refund or exchange.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190816-044892,,CSR,,16-Aug-19,,8,2019,3568,29,,2020,3568,WEST VALLEY CITY
68113114834,SLD CHP SBC TF,Inquiry Product Information,Inquiry,"Customer stated: Ms Chopped Salad Sunflower bacon crunch - salad dressing. Not marked with a nutrition label.

Advised Customer: Will escalate to the supplier for the nutrition information on the salad dressing in the kit.

Product purchased before: Yes

------------Please find the below information regarding MS CHOP SNFLWR BACN KITthat a customer recently purchased. Please reply to this email (do not contact the customer) with the requested information or if you have any questions. Once we have received your response, our team will follow-up with the customer accordingly.

Thank you for your assistance with this matter.

Customer Contact Team


------------Good morning,



Regarding the inquiry from the customer below, you can find the nutrition facts on the back of the main packaging. This includes the information per serving for salad, dressing and toppings together.



Regards,



France Beauzil Saintilma

Customer Complaint Analyst

Taylor Farms Florida

7492 Chancellor Drive | Orlando, FL 32809

407.859.3373 main |

fbeauzil@taylorfarms.com



CONFIDENTIALITY NOTE: The information contained in this transmission may be privileged and confidential information, and is intended only for the use of the individual or entity named above. If the reader of this message is not the intended recipient, you are hereby notified that any dissemination, distribution or copying of this communication is strictly prohibited. If you have received this transmission in error, please immediately reply to the sender that you have received this communication in error and then delete it. Thank you.









Debbie Andersen

Taylor Farms

559-741-0911



From: WMSTORES <wmstorehelp@mailva.custhelp.com>
Sent: Friday,",190816-014603,,CSR,TFFL221ARF4 B,16-Aug-19,22-Aug-19,8,2019,2740,29,,2020,2740,TAMPA
68113138807,SLD ROMAINE 18OZ TF,Foreign Objects,Complaint,"Summary of incident

11602153 -First Escalation – SM1 & SM4 & wmstorehelp – 8/16/19

Brandi, Toni’s daughter, has reached out stating that there was a bug in their bag of salad.

Store #, Address, or dotcom, or

Phone call/chat/email

2740

Tampa, Florida

19910 Bruce B Downs Blvd

Names and contact info of individuals and/or organizations involved

Customer Name: Toni Paugh

Customer Phone: 757-377-8819

Customer Email: paught5@gmail.com

Link(s) to relevant social post(s)

https://twitter.com/brandi_paugh/status/1161437655877521410",190816-044005,,CSR,,16-Aug-19,,8,2019,2740,29,,2020,2740,TAMPA
